geo_point_2d;geo_shape;gid;geom_o;geom_err;rs_ec_parc_s;cdate;mdate;commune;code_commune
44.8714718, -0.5322253;"{""coordinates"": [-0.5322253, 44.8714718], ""type"": ""Point""}";25;360;;234;2012-06-13T10:03:00+00:00;2012-06-13T10:03:00+00:00;Lormont;33249
44.8616302, -0.5295258;"{""coordinates"": [-0.5295258, 44.8616302], ""type"": ""Point""}";28;360;;217;2012-06-13T10:07:32+00:00;2012-06-13T10:07:32+00:00;Cenon;33119
44.8573363, -0.5257897;"{""coordinates"": [-0.5257897, 44.8573363], ""type"": ""Point""}";32;360;;217;2012-06-13T10:08:28+00:00;2012-06-13T10:08:28+00:00;Cenon;33119
44.845905, -0.5318239;"{""coordinates"": [-0.5318239, 44.845905], ""type"": ""Point""}";33;360;;154;2012-06-13T10:11:12+00:00;2012-06-13T10:11:12+00:00;Cenon;33119
44.8565439, -0.5128174;"{""coordinates"": [-0.5128174, 44.8565439], ""type"": ""Point""}";35;360;;218;2012-06-13T10:14:08+00:00;2012-06-13T10:14:08+00:00;Cenon;33119
44.8585845, -0.4981097;"{""coordinates"": [-0.4981097, 44.8585845], ""type"": ""Point""}";42;360;;211;2012-06-14T14:06:56+00:00;2012-06-14T14:06:56+00:00;Artigues-près-Bordeaux;33013
44.8310193, -0.5261412;"{""coordinates"": [-0.5261412, 44.8310193], ""type"": ""Point""}";44;360;;165;2012-06-14T14:25:44+00:00;2012-06-14T14:25:44+00:00;Floirac;33167
44.7752352, -0.5510994;"{""coordinates"": [-0.5510994, 44.7752352], ""type"": ""Point""}";46;360;;153;2012-06-20T08:48:16+00:00;2012-06-20T08:48:16+00:00;Villenave-d'Ornon;33550
44.8057838, -0.5429875;"{""coordinates"": [-0.5429875, 44.8057838], ""type"": ""Point""}";47;360;;185;2012-06-20T08:49:56+00:00;2012-06-20T08:49:56+00:00;Bègles;33039
44.8074642, -0.5425057;"{""coordinates"": [-0.5425057, 44.8074642], ""type"": ""Point""}";48;360;;264;2012-06-20T08:51:20+00:00;2012-06-20T08:51:20+00:00;Bègles;33039
44.7704668, -0.614006;"{""coordinates"": [-0.614006, 44.7704668], ""type"": ""Point""}";52;360;;158;2012-06-20T09:09:44+00:00;2012-06-20T09:09:44+00:00;Gradignan;33192
44.7619677, -0.6373449;"{""coordinates"": [-0.6373449, 44.7619677], ""type"": ""Point""}";54;360;;233;2012-06-20T09:11:44+00:00;2012-06-20T09:11:44+00:00;Gradignan;33192
44.7677874, -0.6115968;"{""coordinates"": [-0.6115968, 44.7677874], ""type"": ""Point""}";56;360;;163;2012-06-20T09:13:20+00:00;2012-06-20T09:13:20+00:00;Gradignan;33192
44.7797957, -0.5873916;"{""coordinates"": [-0.5873916, 44.7797957], ""type"": ""Point""}";57;360;;241;2012-06-20T09:13:48+00:00;2012-06-20T09:13:48+00:00;Villenave-d'Ornon;33550
44.7645223, -0.6201768;"{""coordinates"": [-0.6201768, 44.7645223], ""type"": ""Point""}";58;360;;243;2012-06-20T09:14:52+00:00;2012-06-20T09:14:52+00:00;Gradignan;33192
44.7788029, -0.6014173;"{""coordinates"": [-0.6014173, 44.7788029], ""type"": ""Point""}";62;360;;159;2012-07-02T09:12:36+00:00;2012-07-02T09:12:36+00:00;Gradignan;33192
44.7706996, -0.6040177;"{""coordinates"": [-0.6040177, 44.7706996], ""type"": ""Point""}";64;360;;273;2012-07-02T09:13:04+00:00;2012-07-02T09:13:04+00:00;Gradignan;33192
44.7611207, -0.6082351;"{""coordinates"": [-0.6082351, 44.7611207], ""type"": ""Point""}";66;360;;216;2012-07-02T09:13:32+00:00;2012-07-02T09:13:32+00:00;Gradignan;33192
44.7849288, -0.6111856;"{""coordinates"": [-0.6111856, 44.7849288], ""type"": ""Point""}";75;360;;184;2012-07-02T09:15:20+00:00;2012-07-02T09:15:20+00:00;Gradignan;33192
44.7970118, -0.6303329;"{""coordinates"": [-0.6303329, 44.7970118], ""type"": ""Point""}";76;360;;258;2012-07-02T09:15:36+00:00;2012-07-02T09:15:36+00:00;Pessac;33318
44.8094904, -0.6714448;"{""coordinates"": [-0.6714448, 44.8094904], ""type"": ""Point""}";77;360;;187;2012-07-02T09:16:08+00:00;2012-07-02T09:16:08+00:00;Pessac;33318
44.8385343, -0.6327304;"{""coordinates"": [-0.6327304, 44.8385343], ""type"": ""Point""}";78;360;;277;2012-07-02T09:16:36+00:00;2012-07-02T09:16:36+00:00;Mérignac;33281
